
2010-10-17 15:03:32.224493
Filename;seriell;time;iters;i/t;kernel;c;gamma;e;i
data/a1a;False;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;False;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;False;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;False;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;False;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;False;5.950000;19588;3292.10084034;0;1;0.5;0.01;1000000
data/a1a;False;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;False;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;False;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;False;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;True;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;True;5.980000;19588;3275.58528428;0;1;0.5;0.01;1000000
data/a1a;True;5.990000;19588;3270.11686144;0;1;0.5;0.01;1000000
data/a1a;True;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;True;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;True;5.950000;19588;3292.10084034;0;1;0.5;0.01;1000000
data/a1a;True;5.960000;19588;3286.57718121;0;1;0.5;0.01;1000000
data/a1a;True;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;True;5.970000;19588;3281.0720268;0;1;0.5;0.01;1000000
data/a1a;True;5.950000;19588;3292.10084034;0;1;0.5;0.01;1000000
data/a1a;False;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;False;11.840000;34005;2872.04391892;0;1;0.5;0.01;1000000
data/a1a;False;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;False;11.870000;34005;2864.7851727;0;1;0.5;0.01;1000000
data/a1a;False;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;False;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;False;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;False;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;False;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;False;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;True;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;True;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;True;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;True;11.880000;34005;2862.37373737;0;1;0.5;0.01;1000000
data/a1a;True;11.840000;34005;2872.04391892;0;1;0.5;0.01;1000000
data/a1a;True;11.860000;34005;2867.20067454;0;1;0.5;0.01;1000000
data/a1a;True;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;True;11.850000;34005;2869.62025316;0;1;0.5;0.01;1000000
data/a1a;True;11.840000;34005;2872.04391892;0;1;0.5;0.01;1000000
data/a1a;True;11.890000;34005;2859.96635828;0;1;0.5;0.01;1000000
data/a1a;False;16.550000;37213;2248.51963746;0;1;0.5;0.01;1000000
data/a1a;False;16.550000;37213;2248.51963746;0;1;0.5;0.01;1000000
data/a1a;False;16.520000;37213;2252.60290557;0;1;0.5;0.01;1000000
data/a1a;False;16.550000;37213;2248.51963746;0;1;0.5;0.01;1000000
data/a1a;False;16.530000;37213;2251.24016939;0;1;0.5;0.01;1000000
data/a1a;False;16.530000;37213;2251.24016939;0;1;0.5;0.01;1000000
data/a1a;False;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;False;16.550000;37213;2248.51963746;0;1;0.5;0.01;1000000
data/a1a;False;16.520000;37213;2252.60290557;0;1;0.5;0.01;1000000
data/a1a;False;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;True;16.520000;37213;2252.60290557;0;1;0.5;0.01;1000000
data/a1a;True;16.520000;37213;2252.60290557;0;1;0.5;0.01;1000000
data/a1a;True;16.570000;37213;2245.8056729;0;1;0.5;0.01;1000000
data/a1a;True;16.560000;37213;2247.16183575;0;1;0.5;0.01;1000000
data/a1a;True;16.530000;37213;2251.24016939;0;1;0.5;0.01;1000000
data/a1a;True;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;True;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;True;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;True;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;True;16.540000;37213;2249.87908102;0;1;0.5;0.01;1000000
data/a1a;False;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;False;23.760000;42556;1791.07744108;0;1;0.5;0.01;1000000
data/a1a;False;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;False;23.750000;42556;1791.83157895;0;1;0.5;0.01;1000000
data/a1a;False;23.770000;42556;1790.32393774;0;1;0.5;0.01;1000000
data/a1a;False;23.800000;42556;1788.06722689;0;1;0.5;0.01;1000000
data/a1a;False;23.810000;42556;1787.31625367;0;1;0.5;0.01;1000000
data/a1a;False;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;False;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;False;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;True;23.770000;42556;1790.32393774;0;1;0.5;0.01;1000000
data/a1a;True;23.770000;42556;1790.32393774;0;1;0.5;0.01;1000000
data/a1a;True;23.800000;42556;1788.06722689;0;1;0.5;0.01;1000000
data/a1a;True;23.800000;42556;1788.06722689;0;1;0.5;0.01;1000000
data/a1a;True;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;True;23.810000;42556;1787.31625367;0;1;0.5;0.01;1000000
data/a1a;True;23.840000;42556;1785.06711409;0;1;0.5;0.01;1000000
data/a1a;True;23.790000;42556;1788.81883144;0;1;0.5;0.01;1000000
data/a1a;True;23.810000;42556;1787.31625367;0;1;0.5;0.01;1000000
data/a1a;True;23.800000;42556;1788.06722689;0;1;0.5;0.01;1000000
data/a1a;False;188.760000;1000000;5297.73257046;0;1;0.5;0.01;1000000
data/a1a;False;186.280000;1000000;5368.26283015;0;1;0.5;0.01;1000000
data/a1a;False;186.000000;1000000;5376.34408602;0;1;0.5;0.01;1000000
data/a1a;False;186.780000;1000000;5353.89227969;0;1;0.5;0.01;1000000
data/a1a;False;186.930000;1000000;5349.59610549;0;1;0.5;0.01;1000000
data/a1a;False;186.540000;1000000;5360.78052965;0;1;0.5;0.01;1000000
data/a1a;False;186.970000;1000000;5348.45162326;0;1;0.5;0.01;1000000
data/a1a;False;186.770000;1000000;5354.17893666;0;1;0.5;0.01;1000000
data/a1a;False;186.430000;1000000;5363.94357131;0;1;0.5;0.01;1000000
data/a1a;False;186.450000;1000000;5363.36819523;0;1;0.5;0.01;1000000
data/a1a;True;185.890000;1000000;5379.52552585;0;1;0.5;0.01;1000000
data/a1a;True;186.990000;1000000;5347.87956575;0;1;0.5;0.01;1000000
data/a1a;True;186.680000;1000000;5356.76023141;0;1;0.5;0.01;1000000
data/a1a;True;186.790000;1000000;5353.60565341;0;1;0.5;0.01;1000000
data/a1a;True;185.660000;1000000;5386.18980933;0;1;0.5;0.01;1000000
data/a1a;True;186.160000;1000000;5371.72324882;0;1;0.5;0.01;1000000
data/a1a;True;186.810000;1000000;5353.03249291;0;1;0.5;0.01;1000000
data/a1a;True;186.650000;1000000;5357.62121618;0;1;0.5;0.01;1000000
data/a1a;True;186.480000;1000000;5362.50536251;0;1;0.5;0.01;1000000
data/a1a;True;186.670000;1000000;5357.04719559;0;1;0.5;0.01;1000000
data/a1a;False;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;False;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;False;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;False;2.020000;10398;5147.52475248;0;1;0.5;0.01;1000000
data/a1a;False;2.030000;10398;5122.16748768;0;1;0.5;0.01;1000000
data/a1a;False;2.030000;10398;5122.16748768;0;1;0.5;0.01;1000000
data/a1a;False;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;False;2.030000;10398;5122.16748768;0;1;0.5;0.01;1000000
data/a1a;False;2.050000;10398;5072.19512195;0;1;0.5;0.01;1000000
data/a1a;False;2.030000;10398;5122.16748768;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.050000;10398;5072.19512195;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.030000;10398;5122.16748768;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;True;2.040000;10398;5097.05882353;0;1;0.5;0.01;1000000
data/a1a;False;7.380000;17208;2331.70731707;2;1;0.5;0.01;1000000
data/a1a;False;7.400000;17208;2325.40540541;2;1;0.5;0.01;1000000
data/a1a;False;7.390000;17208;2328.55209743;2;1;0.5;0.01;1000000
