Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache

2010-10-31 20:04:20.494349
data/a1a;./svm-train;6.900000;12798;1854.7826087;2;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;6.330000;12798;2021.80094787;2;1;0.5;0.01;1000000;10
data/a1a;./svm-train;42.970000;162225;3775.30835467;0;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;62.500000;162225;2595.6;0;1;0.5;0.01;1000000;10
data/a2a;./svm-train;16.650000;22310;1339.93993994;2;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;11.120000;22310;2006.29496403;2;1;0.5;0.01;1000000;10
data/a2a;./svm-train;94.850000;254870;2687.08487085;0;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;102.230000;265416;2596.26332779;0;1;0.5;0.01;1000000;10
data/a3a;./svm-train;31.230000;29188;934.614153058;2;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;14.980000;29405;1962.9506008;2;1;0.5;0.01;1000000;10
data/a3a;./svm-train;181.470000;346153;1907.49435168;0;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;134.950000;346153;2565.04631345;0;1;0.5;0.01;1000000;10
data/a4a;./svm-train;71.380000;45335;635.12188288;2;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;23.700000;45335;1912.86919831;2;1;0.5;0.01;1000000;10
data/a4a;./svm-train;433.100000;550555;1271.19602863;0;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;216.900000;550555;2538.28953435;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.360000;3219;8941.66666667;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.030000;3219;3125.24271845;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.290000;9440;32551.7241379;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;2.920000;9440;3232.87671233;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.430000;3332;7748.8372093;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.990000;3332;3365.65656566;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;1.070000;23196;21678.5046729;0;1;0.5;0.01;1000000;10
