kernel;cache;Filename;c;gamma;time_seriell;variance_seriell;time_cuda;variance_cuda;speedup
0;10;data/a1a;1;0.5;43.37;0.00308888888889;62.34;0.0729555555556;0.695700994546
0;10;data/a2a;1;0.5;95.75;6.66666666666e-05;102.18;0.0282888888889;0.937071834018
0;10;data/a3a;1;0.5;183.29;0.000155555555556;134.29;0.0680666666667;1.36488197185
0;10;data/a4a;1;0.5;437.9;0.0513555555556;217.42;0.0561555555556;2.01407414221
0;10;data/breast-cancer_scale;1;0.5;0.29;0.0;2.92;0.0002;0.0993150684932
0;10;data/ionosphere_scale;1;0.5;1.07;2.22222222222e-05;6.3;0.00168888888889;0.169841269841
2;10;data/a1a;1;0.5;4.52;2.22222222222e-05;4.95;0.000288888888889;0.913131313131
2;10;data/a2a;1;0.5;11.08;0.0297555555556;8.71;0.000155555555556;1.2721010333
2;10;data/a3a;1;0.5;20.39;2.22222222222e-05;11.5;0.00228888888889;1.77304347826
2;10;data/a4a;1;0.5;47.45;0.455;18.04;0.00402222222222;2.63026607539
2;10;data/breast-cancer_scale;1;0.5;0.23;2.22222222222e-05;1.02;0.0;0.225490196078
2;10;data/ionosphere_scale;1;0.5;0.23;8.88888888889e-05;0.93;2.22222222222e-05;0.247311827957
0;1000;data/a1a;1;0.5;2.49;0.000155555555556;83.57;0.0134222222222;0.0297953811176
0;1000;data/a2a;1;0.5;27.98;0.00202222222222;137.79;0.0112888888889;0.203062631541
0;1000;data/a3a;1;0.5;104.1;8.8888888889e-05;162.54;0.225066666667;0.640457733481
0;1000;data/a4a;1;0.5;354.28;0.00882222222222;236.36;0.264955555556;1.49889998308
0;1000;data/breast-cancer_scale;1;0.5;0.05;2.22222222222e-05;3.09;2.22222222222e-05;0.0161812297735
0;1000;data/ionosphere_scale;1;0.5;0.08;0.0;6.53;0.000555555555556;0.0122511485452
2;1000;data/a1a;1;0.5;1.54;0.00186666666667;6.3;2.22222222222e-05;0.244444444444
2;1000;data/a2a;1;0.5;4.5;2.22222222222e-05;11.38;0.000155555555556;0.395430579965
2;1000;data/a3a;1;0.5;12.27;0.000155555555556;14.54;0.000155555555556;0.843878954608
2;1000;data/a4a;1;0.5;45.62;0.00215555555556;18.48;0.0024;2.46861471861
2;1000;data/breast-cancer_scale;1;0.5;0.03;2.22222222222e-05;1.07;2.22222222222e-05;0.0280373831776
2;1000;data/ionosphere_scale;1;0.5;0.03;0.0;1.02;2.22222222222e-05;0.0294117647059
