Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache

2010-11-01 20:32:06.014948
data/a1a;./svm-train;32.970000;93409;2833.15134971;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a1a;./svm-cuda-train;36.370000;93099;2559.77453946;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a2a;./svm-train;44.100000;89026;2018.73015873;2;8.0;0.03125;0.01;1000000;10
data/a2a;./svm-cuda-train;35.000000;89026;2543.6;2;8.0;0.03125;0.01;1000000;10
data/a3a;./svm-train;140.070000;200618;1432.2695795;2;512.0;0.00048828125;0.01;1000000;10
data/a3a;./svm-cuda-train;78.590000;200618;2552.71663061;2;512.0;0.00048828125;0.01;1000000;10
data/a4a;./svm-train;353.990000;336432;950.399728806;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a4a;./svm-cuda-train;133.450000;335626;2514.99437992;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.280000;3996;14271.4285714;2;512.0;0.0001220703125;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.240000;3996;3222.58064516;2;512.0;0.0001220703125;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.200000;2838;14190.0;2;2.0;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.790000;2838;3592.40506329;2;2.0;0.5;0.01;1000000;10
data/a1a;./svm-train;1.660000;93409;56270.4819277;2;8192.0;3.0517578125e-05;0.01;1000000;1000
data/a1a;./svm-cuda-train;50.160000;93099;1856.04066986;2;8192.0;3.0517578125e-05;0.01;1000000;1000
data/a2a;./svm-train;11.080000;89026;8034.83754513;2;8.0;0.03125;0.01;1000000;1000
data/a2a;./svm-cuda-train;48.450000;89026;1837.48194014;2;8.0;0.03125;0.01;1000000;1000
data/a3a;./svm-train;88.130000;200618;2276.38715534;2;512.0;0.00048828125;0.01;1000000;1000
data/a3a;./svm-cuda-train;94.890000;200618;2114.21646117;2;512.0;0.00048828125;0.01;1000000;1000
data/a4a;./svm-train;314.520000;336432;1069.66806562;2;8192.0;3.0517578125e-05;0.01;1000000;1000
data/a4a;./svm-cuda-train;142.110000;335626;2361.73386813;2;8192.0;3.0517578125e-05;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.030000;3996;133200.0;2;512.0;0.0001220703125;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;1.330000;3996;3004.5112782;2;512.0;0.0001220703125;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.030000;2838;94600.0;2;2.0;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;0.870000;2838;3262.06896552;2;2.0;0.5;0.01;1000000;1000
data/a1a;./svm-train;32.990000;93409;2831.43376781;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a1a;./svm-cuda-train;36.190000;93099;2572.50621719;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a2a;./svm-train;44.050000;89026;2021.0215664;2;8.0;0.03125;0.01;1000000;10
data/a2a;./svm-cuda-train;34.640000;89026;2570.03464203;2;8.0;0.03125;0.01;1000000;10
data/a3a;./svm-train;140.250000;200618;1430.43137255;2;512.0;0.00048828125;0.01;1000000;10
data/a3a;./svm-cuda-train;78.840000;200618;2544.62201928;2;512.0;0.00048828125;0.01;1000000;10
data/a4a;./svm-train;352.310000;336432;954.931736255;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/a4a;./svm-cuda-train;133.550000;335626;2513.11119431;2;8192.0;3.0517578125e-05;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.290000;3996;13779.3103448;2;512.0;0.0001220703125;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.250000;3996;3196.8;2;512.0;0.0001220703125;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.200000;2838;14190.0;2;2.0;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.790000;2838;3592.40506329;2;2.0;0.5;0.01;1000000;10
data/a1a;./svm-train;1.660000;93409;56270.4819277;2;8192.0;3.0517578125e-05;0.01;1000000;1000
data/a1a;./svm-cuda-train;50.440000;93099;1845.73750991;2;8192.0;3.0517578125e-05;0.01;1000000;1000
