kernel;cache;Filename;c;gamma;time_seriell;variance_seriell;time_cuda;variance_cuda;speedup
2;10;data/a1a;8192.0;3.0517578125e-05;32.97;8.88888888889e-05;36.19;0.0204222222222;0.911025145068
2;10;data/a2a;8.0;0.03125;44.05;0.00108888888889;34.64;0.0216222222222;1.27165127021
2;10;data/a3a;512.0;0.00048828125;139.81;0.0326222222222;78.59;0.0116666666667;1.77897951393
2;10;data/a4a;8192.0;3.0517578125e-05;352.31;0.481155555556;133.45;0.181666666667;2.64001498689
2;10;data/breast-cancer_scale;512.0;0.0001220703125;0.28;2.22222222222e-05;1.24;2.22222222222e-05;0.225806451613
2;10;data/ionosphere_scale;2.0;0.5;0.2;7.70371977755e-34;0.79;0.0;0.253164556962
2;1000;data/a1a;8192.0;3.0517578125e-05;1.66;0.0;49.95;0.0402888888889;0.0332332332332
2;1000;data/a2a;8.0;0.03125;11.07;0.0112666666667;48.45;0.000355555555556;0.228482972136
2;1000;data/a3a;512.0;0.00048828125;88.12;3.51126666667;94.89;0.0180666666667;0.928654231215
2;1000;data/a4a;8192.0;3.0517578125e-05;314.52;11.3736222222;141.71;0.0494222222222;2.21946228213
2;1000;data/breast-cancer_scale;512.0;0.0001220703125;0.03;2.22222222222e-05;1.32;2.22222222222e-05;0.0227272727273
2;1000;data/ionosphere_scale;2.0;0.5;0.02;2.22222222222e-05;0.87;2.22222222222e-05;0.0229885057471
