Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache

2010-10-28 18:43:51.791547
tools/rand-e1024-v32768-1.0.data;./svm-train;38.110000;100;2.62398320651;2;1;0.5;0.01;100;10
tools/rand-e1024-v32768-1.0.data;./svm-cuda-train-noeps;0.660000;100;151.515151515;2;1;0.5;0.01;100;10
tools/rand-e1024-v32768-1.0.data;./svm-train;19.910000;100;5.02260170768;0;1;0.5;0.01;100;10
tools/rand-e1024-v32768-1.0.data;./svm-cuda-train-noeps;0.370000;100;270.27027027;0;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-train;40.050000;100;2.49687890137;2;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-cuda-train-noeps;1;1;1.0;2;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-train;20.420000;100;4.8971596474;0;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-cuda-train-noeps;0.440000;100;227.272727273;0;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-train;39.490000;100;2.53228665485;2;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-cuda-train-noeps;0.730000;100;136.98630137;2;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-train;20.390000;100;4.90436488475;0;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-cuda-train-noeps;0.390000;100;256.41025641;0;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-train;39.380000;100;2.53936008126;2;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-cuda-train-noeps;2.150000;100;46.511627907;2;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-train;20.360000;100;4.9115913556;0;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-cuda-train-noeps;0.950000;100;105.263157895;0;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-train;39.410000;100;2.53742704897;2;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-cuda-train-noeps;4.220000;100;23.6966824645;2;1;0.5;0.01;100;10
