kernel;cache;Filename;c;gamma;time_seriell;variance_seriell;time_cuda;variance_cuda;speedup
0;1;tools/rand-e1024-v32768-1.data;1;0.5;195.24;0.0104;3.48;2.22222222222e-05;56.1034482759
0;1;tools/rand-e16384-v2048-1.data;1;0.5;199.27;2.22222222222e-05;8.94;2.22222222222e-05;22.2897091723
0;1;tools/rand-e2048-v16384-1.data;1;0.5;199.92;2.22222222223e-05;4.15;2.22222222222e-05;48.1734939759
0;1;tools/rand-e32768-v1024-1.data;1;0.5;199.36;0.00406666666667;17.3;0.0;11.523699422
0;1;tools/rand-e4096-v8192-1.data;1;0.5;199.57;6.66666666667e-05;3.7;1.97215226305e-31;53.9378378378
0;1;tools/rand-e512-v65536-1.data;1;0.5;195.56;0.000466666666667;3.89;0.0;50.2724935733
0;1;tools/rand-e8192-v4096-1.data;1;0.5;199.33;0.000866666666666;4.91;2.22222222222e-05;40.5967413442
2;1;tools/rand-e1024-v32768-1.data;1;0.5;200.42;0.0194;3.47;0.0;57.757925072
2;1;tools/rand-e16384-v2048-1.data;1;0.5;199.72;0.00168888888889;9.03;2.22222222222e-05;22.1173864895
2;1;tools/rand-e2048-v16384-1.data;1;0.5;202.12;0.000266666666667;4.12;2.22222222222e-05;49.0582524272
2;1;tools/rand-e32768-v1024-1.data;1;0.5;199.83;0.000266666666667;17.47;2.22222222222e-05;11.4384659416
2;1;tools/rand-e4096-v8192-1.data;1;0.5;200.76;0.00526666666667;3.66;2.22222222222e-05;54.8524590164
2;1;tools/rand-e512-v65536-1.data;1;0.5;198.34;6.66666666667e-05;3.88;2.22222222222e-05;51.118556701
2;1;tools/rand-e8192-v4096-1.data;1;0.5;200.11;0.00148888888889;4.95;8.88888888889e-05;40.4262626263
0;1000;tools/rand-e1024-v32768-1.data;1;0.5;4.91;0.0;0.57;2.22222222222e-05;8.61403508772
0;1000;tools/rand-e16384-v2048-1.data;1;0.5;0.79;2.22222222222e-05;0.39;2.22222222222e-05;2.02564102564
0;1000;tools/rand-e2048-v16384-1.data;1;0.5;1.7;0.0;0.34;8.88888888889e-05;5.0
0;1000;tools/rand-e32768-v1024-1.data;1;0.5;0.79;0.0;0.45;6.66666666667e-05;1.75555555556
0;1000;tools/rand-e4096-v8192-1.data;1;0.5;1.24;2.22222222222e-05;0.35;3.08148791102e-33;3.54285714286
0;1000;tools/rand-e512-v65536-1.data;1;0.5;15.28;2.22222222222e-05;2.04;2.22222222222e-05;7.49019607843
0;1000;tools/rand-e8192-v4096-1.data;1;0.5;0.81;0.0;0.36;2.22222222222e-05;2.25
2;1000;tools/rand-e1024-v32768-1.data;1;0.5;200.26;0.217866666667;3.05;2.22222222222e-05;65.6590163934
2;1000;tools/rand-e16384-v2048-1.data;1;0.5;199.73;8.8888888889e-05;8.93;2.22222222222e-05;22.366181411
2;1000;tools/rand-e2048-v16384-1.data;1;0.5;202.41;0.000622222222222;3.24;0.0;62.4722222222
2;1000;tools/rand-e32768-v1024-1.data;1;0.5;199.8;0.000688888888889;17.26;0.000955555555555;11.5758980301
2;1000;tools/rand-e4096-v8192-1.data;1;0.5;200.91;2.22222222222e-05;3.61;2.22222222222e-05;55.6537396122
2;1000;tools/rand-e512-v65536-1.data;1;0.5;198.81;0.000422222222222;3.27;2.22222222222e-05;60.7981651376
2;1000;tools/rand-e8192-v4096-1.data;1;0.5;200.24;8.88888888887e-05;4.89;2.22222222222e-05;40.9488752556
