
2010-10-28 00:41:16.602561
Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache
data/a1a;./svm-train;6.800000;12798;1882.05882353;2;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;6.310000;12798;2028.20919176;2;1;0.5;0.01;1000000;10
data/a1a;./svm-train;42.980000;162225;3774.42996743;0;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;62.060000;162225;2614.00257815;0;1;0.5;0.01;1000000;10
data/a2a;./svm-train;16.640000;22310;1340.74519231;2;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;11.180000;22310;1995.52772809;2;1;0.5;0.01;1000000;10
data/a2a;./svm-train;94.910000;254870;2685.38615531;0;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;102.410000;265416;2591.70002929;0;1;0.5;0.01;1000000;10
data/a3a;./svm-train;30.680000;29188;951.368970013;2;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;14.960000;29405;1965.57486631;2;1;0.5;0.01;1000000;10
data/a3a;./svm-train;181.420000;346153;1908.02006394;0;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;134.220000;346153;2578.99716883;0;1;0.5;0.01;1000000;10
data/a4a;./svm-train;71.400000;45335;634.943977591;2;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;23.810000;45335;1904.03191936;2;1;0.5;0.01;1000000;10
data/a4a;./svm-train;433.300000;550555;1270.60927764;0;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;216.750000;550555;2540.0461361;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.360000;3219;8941.66666667;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.020000;3219;3155.88235294;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.290000;9440;32551.7241379;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;2.910000;9440;3243.9862543;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.430000;3332;7748.8372093;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.990000;3332;3365.65656566;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;1.100000;23196;21087.2727273;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;6.300000;23196;3681.9047619;0;1;0.5;0.01;1000000;10
data/a1a;./svm-train;2.240000;12798;5713.39285714;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;6.700000;12798;1910.14925373;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-train;2.500000;162225;64890.0;0;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;84.250000;162225;1925.51928783;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;6.640000;22310;3359.93975904;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;12.380000;22310;1802.10016155;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;27.740000;254870;9187.81542898;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;137.750000;265416;1926.79491833;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;18.290000;29188;1595.84472389;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;16.620000;29405;1769.25391095;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;106.150000;346153;3260.97974564;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;162.410000;346153;2131.35274921;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;68.560000;45335;661.245624271;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;23.880000;45335;1898.45058626;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;350.280000;550555;1571.75688021;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;235.970000;550555;2333.15675721;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.040000;3219;80475.0;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;1.070000;3219;3008.41121495;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.060000;9440;157333.333333;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;3.080000;9440;3064.93506494;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.050000;3332;66640.0;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;1.020000;3332;3266.66666667;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.080000;23196;289950.0;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;6.540000;23196;3546.78899083;0;1;0.5;0.01;1000000;1000
data/a1a;./svm-train;6.790000;12798;1884.83063328;2;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;6.340000;12798;2018.61198738;2;1;0.5;0.01;1000000;10
data/a1a;./svm-train;42.980000;162225;3774.42996743;0;1;0.5;0.01;1000000;10
data/a1a;./svm-cuda-train;62.430000;162225;2598.51033157;0;1;0.5;0.01;1000000;10
data/a2a;./svm-train;16.630000;22310;1341.55141311;2;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;11.190000;22310;1993.74441466;2;1;0.5;0.01;1000000;10
data/a2a;./svm-train;94.820000;254870;2687.9350348;0;1;0.5;0.01;1000000;10
data/a2a;./svm-cuda-train;102.670000;265416;2585.13684621;0;1;0.5;0.01;1000000;10
data/a3a;./svm-train;30.680000;29188;951.368970013;2;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;15.020000;29405;1957.72303595;2;1;0.5;0.01;1000000;10
data/a3a;./svm-train;181.430000;346153;1907.91489831;0;1;0.5;0.01;1000000;10
data/a3a;./svm-cuda-train;134.680000;346153;2570.18859519;0;1;0.5;0.01;1000000;10
data/a4a;./svm-train;71.410000;45335;634.855062316;2;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;23.630000;45335;1918.53575963;2;1;0.5;0.01;1000000;10
data/a4a;./svm-train;433.080000;550555;1271.25473354;0;1;0.5;0.01;1000000;10
data/a4a;./svm-cuda-train;217.580000;550555;2530.35665043;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.360000;3219;8941.66666667;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.030000;3219;3125.24271845;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.290000;9440;32551.7241379;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;2.940000;9440;3210.88435374;0;1;0.5;0.01;1000000;10
